headline,sentiment
PHATLALATSO EA SEPOLESA,neutral
MONNA EA BOLAILOENG KE MAPOLESA O BOLOKILOE,negative
MONNA O TŠOAETSA MORALI-AE MAFU A LIKOBO,negative
BA QOSOA KA BOSHOLU BA THEPA EA KHOEBO,negative
LITEBOHO TSA SEPOLESA,positive
BANNA BA MAKHOMOSHA BA FUOA BAIL,negative
BAOKAMELI BA TSEKA NYATSI,negative
KOMPONE E NEHELANA KA MOAHO HO SEPOLESA ,positive
MORENA O SE A QHALILE PARAMENTE ,negative
RASETHUNYA O BOLAEA BATHO BA 21 ,negative
LITICHERE LI LLA SEBOKO SA PHOHOMELA,negative
NGOANANA EA NYAMETSENG SETEREKENG O RE O KOETETSOE O KA HARA MOCUCU O MOHOLO ,negative
UTLOA LITABA TSA MOSALI EA BOLAUOENG KE KOLOI SHOALANENG EA MAOBANE,negative
MONNA O CHATA LE NYATSI MAHLONG A MOSALI LE NGOANA,negative
MOKHA KE TŠUPA E QETILE CHELETE EA 'MUSO,negative
MOETAPELE O TSOA KA BAIL,positive
MOPARAMENTE O BELAELLOA POLAONG EA MOHOEBI,negative
LEKHOTLA LE BA FUMANE BA LE MOLATO ,negative
NA BOPHELO BA TONAKHOLO BO TSIETSING,negative
BALA POLELO EA LEKHOTLA LA LIKEREKE MABAPI LE MAEMO A RENANG A LIPOLOTIKI,neutral
UTLOA NA MOPARAMENTE O TŠOARETSOENG,negative
NGOANANA EA QETANG HO FUOA LENGOLO KE MOFU TSE BOHLOKO HA LI FELE,negative
BACHOCHISI BA MAMENEMENE MATJALENG,negative
LIKARETE TSA LI BANKA HA LI SA SEBETSA,negative
BANNA BA AHLOLELOA HO SITISA MAPOLESA HO SEBETSA,negative
NTJA E BONA MOQHOBI OA LEPHELE A HAKUOE SEFATENG,negative
TONAKHOLO O HLABA MOETAPELE OA PHATHI BOHLOKONG ,negative
MONNA O AHLOLOA LILEMO TSE 20 KA HO SELAKHA MOTHO,negative
MONNA O QOSOA KA BOSHOLU BA LIPHOOFOLO,negative
MATOETOE O MAKATSA BASEBETSI BA LEKALA,neutral
E TSOHA E LE SEBONOANG SE BONOA KE BOHLE MOTSENG,negative
TONKI E SA TSEJOENG E FIHLILE E MATHA EA HULA SKIPA TERATENG EA BALEA KA SONA EABA EA A LIKELLA KAMORA LETSATSA,negative
'MOLAI OA MOSALI OA MOKHETHOA O NTSE A BATLOA,negative
SEPOLESA SE FUMANA THEPA EA BOSHOLU KA HO SALA MONYENYETSI MORAO,positive
THUSETSANG SECHABA KHOMO EA OELA,negative
MOSALI E MONG O HLAHELOA KE TSIETSI HAPE KOLOING EA 4+1,negative
BAITHUTI BA LELEKOA SEKOLONG KAMORA HO HLOKOFATSA BAITHUTI BA SELEMO SA PELE,negative
PHAPOSI EA SEALEMOEA E CHA LORE HA 'MOHO LE MECHINI,negative
SEHLOPHA SE FOHLOA LIQOLA,negative
MOETI O QETA HO TIMELLA KOTSING EA KOLOI,negative
SEKOLO SE PHAHAMENG SE HEMA KA LEQEBA BAITHUTI BA RE TSOELOPELE HA E BONAHALE,negative
LEPOLESA LE NYAMETSE,negative
BATHO BA BANE LE NGOANA BA CHA LORE KOTSING EA KOLOI,negative
LEHLOA LE LEBELETSOE MAFELO A BEKE,neutral
NAHA E TSOIBILA LI MISSILE TSE 400,negative
MOSALI O QABANYA BANNA LE BAHLANKANA O KHALENHOA KE MORENA LE MAHOKELA,negative
BANNA BA MARECRUIT BA MAPOLESA BA KHAKHATHA SECHABA,negative
LIBUKANA TSA HO ETA LI TSOILE KA BONGATA,positive
PAKI E RE HA TSEBE LETHO KA LEFU LA LESOLE,negative
MONNA O EA LIJONG TSA MOTŠEARE E LE SERGEANT,positive
'NA HA KEA MO JA,positive
MOLAOLI O RE HA A TLO FETOLOA LEHLANYA A MATHE LIPAKENG,positive
LITOPO TSE PELI TSA BANNA LI FUMANOA LI KHAOTSOE LIQOQOTHO SETEREKENG ,negative
'MOLAI OA BASEBETSI O HLAHILE KA KHOTLA,negative
KE TSOA KEREKENG KE FUMANA NTATE E SE ELE MOFU,negative
LEBENKELE MATHATENG ,negative
BATŠEHETSI BA SEHLOPHA SA BOLO BA TLO LAHLELOA TORONKONG ,negative
MAFOKISI A MO HLAHA LESUMATHA ,positive
MANYELA-KOAENG,negative
SEAPARO LE KOLOI EA LESOLE LI FUMANOA SETEREKENG PELAELLO KE HORE LE BOLAUOE,negative
'MUSO O NTSE O TŠOERE KA MATLA HO MATLAFATSA LITSELA TSA NAHA,positive
MOSALI LE BARA BA UTSOA LINKU SETEREKENG BA LI HLABA,negative
MUSO O ABELA SEPOLESA MAKOLOI,positive
BATSOALI BA QOSOA KA HO BETSA MORALI'A BONA,negative
MOKHA O MO LAHLELA TERONKONG LEMO TSE 12,negative
SEPOLESA SE TŠOARA MAKHOMOSHA A 8 LE BATHO BA 63 BA SENANG LITOKOMANE,negative
BANNA BA HLAHELLA HAPE KA PEL'A LEKHOTLA KA BOSHOLU BA THEPA,negative
SECHABA UTLOANG MELEKO EA 'MUSO OA MAKHOOA A MABELI ,negative
KE HLOLOA HOBA LE BANA,negative
NAHA E IMETSOE KE LIKOLOTO,negative
O BETA NGOANANA HA QETA O NKOA KE SEPHUME SA BOROKO,negative
'MOLAI OA MOPARAMTE OA MEHLENG O HLALOSA SE ETSAHETSENG HA A TLA MO BOLAEA,negative
NGAKA EA SESOTHO E BOLAEA MOTHO KA METHOKHO,negative
MONNA O BOLAEA NKHONAE EA LILEMO LI 66,negative
NGOANA OA SEBINI O OA HOLA,1G
MONNA O NTŠA LIUTA KA MOETAPELE OA HAE,negative
LESHOLU LE PHETHOHA KA KOLOI A QETANG HO E UTSOA,negative
TLALEHO KA TŠEBETSO EA MONNA EA RULELLANG BATHO MAHALA,positive
LESHOLU LE TSOA KA MICROWAVE-NG LE MATHA SETEREKENG,negative
MOPARAMENTE OA PHATHI O HANANA LE QETO EA MOETAPELE,negative
O EKOA KE NGOAN’ABO KA LEBAKA LA LIKOBO,negative
MOSALI EA LILEMO LI 21 O BOLAEA MONNA OA HAE KA THIPA,negative
TLHOKOMELISO KA KOTSI EA MOLLO,negative
MOKHA O NTSE O HOLA KA THELLO E KHOLO,positive
UTLOA LITABA TSA MOSALI EA BELAELLOANG KA BOSHOLU BA TLHAPI ,negative
LETOFE LE FETOLA MAOA,neutral
MOPARAMENTE O HLALOSA TSA TŠOARO EA HAE,negative
MONNA O FUMANOA KA HAR’A LETAMO LA MALI,negative
PASEKA EBILE E MAHLONOKO E NKILENG MAPHELO A BATHO,negative
KHAREBE E HLALLOA HO RATA LIKOBO,negative
MOPAMENTE O MATJALENG,negative
BABOLAI BA BANANA BA HLAHILE KAPELE HO LEKHOTLA ,negative
NGOANANA O ITHUNYETSA LEFU,negative
RAMOPHATHO O TŠOEROE KAMOR'A HO LEKA HO BOLAEA EO PELAELO ELENG HORE O BUILE KOMA,negative
MONNA O FUMANA KAHLOLO EA KHOEBISANO KA BATHO,negative
HO FUMANOA SETOPO SA MOSALI KA MORUNG,negative
MONNA O QHANYATSA NGOANA MOHAISANE OA HAE HLOOHO,negative
TONAKHOLO O NTSE A PHETSE HANTLE,positive
HLATHE E LELEKISA TSEBE HO MOOKAMELI OA SEPOLESA,positive
MONNA O HLABA NYALASI HAPE,negative
O LAHLEHELOA KE BOPHELO KA LEBAKA LA METSI,negative
SETHUNYA SE QETA HO THUNYA MOTHO KE LILLO LE SEBOKA FEELA,negative
BA HLABA NYATSI KA LERUMO ,negative
SEPOLESA SE HLAKISA SE ILENG SA ETSAHALA KA BOTEBO HOSENG KAJENO,neutral
MOFU O SHAPILE MOSALI OA MOTHO HA A TLA BOLAOA,negative
'MELAELLOA O QOSOA KA BOSHOLU BA THEPA EA MOO A SEBETSANG,negative
METSOFE E RE HA E BATLE HO FUMANTŠOA LITSIANE KA MPESA BA BATLA HO KHOLLA POSONG,positive
MOETAPELE O TŠOHILE JOALO KA NONYANA,negative
FANA KA MALI KHAFETSA O PHOLOSE BOPHELO,positive
BO 'ME BA NKHISETSANE MEFUFUTSO BA KHOTHOMETSANA HO FIHLELA E MONG A KOQAMA E MONG HOLIMO,negative
MONYETLA OA LEHLOA O TENG SONTAHA,neutral
LENANE LA KOMITI EA NAKOANA EA MOKHA O MOCHA,positive
MOSEBETSI OA HO NEHELANA LE HO BULA SEMMUSO MOTEBO OA SEPOLESA,positive
'MUSO O THIBELA HO KENA HOA LIKHOHO MALIBOHONG,negative
MOSALI O QHALA KEMARO LE HO LAHLELA SETOTSOANA KA NTLOANENG,negative
MONNA KE MOFU KAMORA HO HLAJOA KA THIPA KE MOSALI'AE,negative
MOCHOCHISI O NGALA LINYEOE,negative
SEPOLESA SE BATLISA KA SETOPO SA MOSALI,negative
BANNA BA TŠOEROE KA BOSHOLU BA MERIANA LE LIPILISI,negative
LEFU LA TŠOENE LE QHOMA NAHENG EA BOAHISANE,negative
LE BATLANG LEFUNG LA MOTHO EO LE MO BOLAILENG BAITHUTI,negative
NYA MATSETE MOETAPELE HO ILENG KE NAKO,negative
'MUSO O ARABA LIPOTSO TSA THEKO EA MAKOLOI A SEPOLESA,positive
'MUSO O THAKHOTSE PHEHLO EA MOTLAKASE OA LETSATSI ,negative
'MOLAI OA MOPARAMENTE OA MEHLENG O FUOA BEILE,negative
SEPETLELE SE TSOA PUO KA NGAKA E QOSOANG KA PETO,negative
MONNA O FENETHA MOTHO,negative
SEKHORANE SE SEHOLO LEFATŠENG SE RE HA SE NA HASONA,negative
LINTLHA-KHOLO POLAONG EA SEBOHOLI,negative
BA 'MATLA MARETE A BATHO A BA FAOTSENG,negative
BASALI BA SEPOLESA LE MAKOSTABOLE BA ETELA LIKOLO,positive
UTLOA NTHOE MPE E ENTSOENG KE MOITHUTI O BABOTSE KHAREBE KA MPAMA,negative
BAOKI BA IPELAETSA KHAHLANONG LE 'MUSO,negative
LESHOLU LE QHAQHA KHOEBO TOROPONG,negative
SECHABA SA QHAUTSA LESHOLU SETEREKENG ,negative
SEKOLO SE PHAHAMENG SE ETELOA KE SEPOLESA,positive
BAREKI BA KOALA LIKEITI TSA KOMPONE KA NKANE,negative
BA HABO MOFU BA AMOHELA LENGOLO LA HAE LA THUTO,positive
SETOTSOANA SE FUMANOA KA NTLOANENG SETEREKENG,negative
O PITLOA LILEMO TSE 25 TERONKONG KA POLAO EA MOTHO,negative
MOENA OA SEBINI SA FAMO O BOLAOA KA HO HLAJOA KA THIPA,negative
BANNA BA BARARO BA ITŠOARELLA KA MOSALI A LE MONG,positive
LITHUNYA TSE 180 LI NYAMETSE SEPOLESENG,negative
LETONA LE PHATLALATSA TABA EA LIPEO LE MANYOLO,neutral
BABELAELLOA BA LIPOLAO TSE SEHLOHO BA QHAUTSOA KE SEPOLESA,positive
BANNA BA FUMANOA BA LE MOLATO KE BOSHOLU,negative
MONNA O QOSOA KA HO QHEKETSA LE HO  INKELA MOO A SA BEHANG,negative
SEPOLESA SE PHAHLA LIBETSA TSE KOTSI MATSOHONG A SELE,positive
BOHANYETSI BO SEBOKO KE 'MUSO,negative
BAITHUTI BA SEKOLO BA NYOFA MOOKAMELI BA RE A FOKOFE LE TENTE EA HAE BA RE BAOKAMELI BA SHEBE TLASE,negative
'MELAELLOA O  TJAMETSOE KE NYEOE EA HO HLEKEFETSA MOSHANYANA KA MOTABO,negative
HO FUMANOA SETOPO SA MONNA SE RAPALETSE KA 'MILENG ,negative
LITABA TSE LING TSE MONATE KE TSENA,positive
MOSALI LE MONNA BA BATLOA KA POLAO EA MOTHO,negative
LETŠOLO LA 'MUSO LA HO HLOEKISA NAHA ,positive
MONNA O QOSOA KA HO TLOLA MELAO EA NAHA  ,negative
MOPARAMENTE O THUNYELITSOE LEFU HOSENG KAJENO,negative
BO RASETHUNYA BA LALASA,negative
MOKHOTHALETSUOA O BETSA KHOBA HAPE ,neutral
OFISIRI E RE MOOKAMELI O BUA LESHANO LE LETALA KA KHOTLA,negative
MOSEBETSI OA MORAFO O FENETHA MOSEBETSI 'MOHO PONTŠENG EA BASEBETSI 'MOHO,negative
MOSALI EA ILENG A THUNNGOA KE MONN'AE MOTŠEARE KE MOFU,negative
MONNA O KHAKHATHELA MOSALI LEFU ,negative
SEBAPALI SE TEBELLOA HO PHINYA HAHOLO LEHO TŠEHA HA QETA,negative
MAKOLOI A BAETI A TLO NYOLOHA HO TLOHA KA LA 1 TŠITOE 2023,negative
METHOAELA E SE E NTSE E BONAHALA MAPATLELONG A TOROPO E JABA-JABA,positive
MOSHANYANA O UTSOA KOLOI E MOTSOALLE OA HAE,negative
SEFOFANE SA TONAKHOLO SE SEBELISOANG KE SEPOLESA,positive
MAKHOMOSHA A 11 A TŠOAROA,negative
MAQHEKU LE MAQHEKOANA HA A TLO KHOLA,negative
SETHO SA PHATHI SE SEBOKO KE 'MUSO O LITULONG ,negative
MOOKAMELI O PATELA LEKHOTLA LITABA TSA HAE,negative
MOSALI EA BOLAILENG MONNA OA HAE O HLAHILE KA KHOTLA,negative
SENYAMO,positive
RE LOKELA HO HIRA MASOLE A MACHA KA HA PALO EA MASOLE ESE THEFULEHILE,positive
MOKHALAKAJOE O QOSOA KA HO HLEKEFETSA SETLOHOLO KA MOTABO,negative
KE MPHETE KE O FETE MABALENG A LIPOLOTIKI,negative
BANNA BANA BA NTSE BA BATLOA,negative
MOSALI O BETOA LE HO NKELOA CHELETE MOTSENG,negative
KHAREBE E KOAHELA BOTŠEHALI LE MATSOELE KA NAMA EA KHOHO,negative
MELEMO EA HO TSAMAEA O TSOTSE,positive
BANNA BA BOLAHANE KA LITHIPA NTLONG EA MOTHAMAHANE,negative
MONNA OA HO TŠELA CHILISI BOTHONG BA MOSALI O SHOELE,negative
LINKU TSA NKHONO LIA NYAMELA,negative
SEPOLESA SE LATA LIKHOMO TSA SECHABA,positive
LETSATSI LE BA LIKELLA TSELENG,negative
MOOKAMELI O AMEHA BOSHOLUNG BA LIPHOOFOLO,negative
MOSALI O QETA HO HLAJOA KA THIPA,negative
BABOLAI BA LEPOLESA,negative
LIJO TSA BAKULI SEPETLELE ,neutral
MOSALI O HLEKEFETSOA KA MOTABO,negative
BASALI BA BOLAEA BANNA BA BA NANYETSA,negative
MAKOLOI A BAETI A NYOLOHILE,negative
TRUST FUND E KOPA TŠEHETSO,positive
NGOANA O FUMANOA A TIMETSE LEBALENG HABO,negative
TSEBISO E POTLAKILENG,neutral
BANNA BA BOLAEA MOTHO KA LEBAKA LA LENTSOE MONNA,negative
MOSALI EA ILENG A PEPESA LETHATHEMO LA MATONA A MACHA O QOSITSOE,negative
MOSALI O NYAMETSE,negative
MAPOLESA A MANE A BEHELLOA KA THOKO HO MOSEBETSI E MONG O ILE MOSEBETSING A TAUOE BA BANG BA NKILE TJOTJO HO MASHOLU A TERAKA,negative
MONNA LE MOSALI BA PHONYOHA LEFU,positive
BONA MOSEBETSI O MOTLE OA BARUTOANA BANA KHELEE,positive
BARALI BA FENETHA 'MABONA TOROPONG,negative
MOKHATLO O KETEKA LETSATSI LA LEFATŠE LA BANA,positive
MAJOE A OETSE KA HARA TSELA,negative
MOPOROFETA O TLA SETEREKENG,positive
SEBOHOLI SE 'MATLETSE MOO A SENG A LULA TENG,positive
LETONA LE RE BASEBETSI BA TLO LELEKOA,negative
MOSEBETSI O HANA HO EA HAE O BATLA HO SHOELLA SESOLENG,negative
MOITHUTI OA SEKOLO O TŠELLOA CHEFO KA JOALENG,negative
MOOKAMELI KE MOSALI MOHOLO NTHOE,negative
NGOANANA O NYAMETSE,negative
MONGA' SOMETHING KAOFELA O BATLA M3 MILIONE,negative
BOROKHO BA 'MILIKANE BO OELE,negative
OFIRISI E KHOTLA KA TJOTJO EA M40 000,negative
NGOANA EA LILEMO LI 8 O BOLAEA NOHA EA MASUMU KA MENO,positive
MONNA O QOSOA KA POLAO EA BATHO BA BABELI A NTSE A LE BEILING EA POLAO EA BATHO BA BANG BA BABELI,negative
LEPOLESA LE THOLISA MOSALI MOHOLO FONO,positive
MOTSOALI O PHETA LITABA TSE SISIMOSANG KA MORALI OA HAE,negative
TONAKHOLO EA MEHLENG KHOTLA KA LEFU LA MOHATSA OA MEHLENG,negative
BATHO BA 4 BA LO BOLLA TERONKONG,negative
SEPOLESA SE TŠOARELA MAHOKELA THUPELO,positive
MOSA O KOLOBETSANG LITHOTSELA O SIEA KHAREBE E ITŠOERE HLOOHONG,negative
KOMPONE EA MARANGRANG E LAHLEHELOA KE MATSEBE-TSEBE A MALOTI KA BOKHOSHELI ,negative
SEPOLESA SE PHUTHA LITOPO,positive
PHATHI  E ETSA TLHOLOSANO EA HO HAPA LIKOLOI,positive
BATHO BA 15 BA HLAHELOA KE MATHATA NAHENG EA BOAHELANE,negative
BA HLAHA KHOTLA KA BOSHOLU BA LIPHOOFOLO,negative
MOKOAO O SHOELLA PIZZA EA MOTHO,negative
KEREKE E KOALA KHOELI EA BASALI KA NOTO E HOLIMO,positive
SEBINI SA MOKHA SE THUNTSOE,negative
'MUSO O BOLOKA BAFU BA SA TSEJOENG,negative
LESOLE LE BOLAOA KA TŠEPE EA LIRESHENE,negative
MOKHATLO OA LEFATŠE OA BOPHELO O KETEKA LE SEPOLESA LE LEKALA,positive
TLALEHO EA SEPOLESA KA LEFU LA MOSALI ,negative
MOPARAMENTE O KENYA SEPOLESA SESOLE LE MAUTLOELA TSELENG,positive
SECHABA SE PHELANG UKRAINE SE BOLOKOHILE,positive
'MOLAI OA MOPARAMENTE OA MEHLENG O HLAHA KHOTLA,negative
NGAKA E SITOA HO NETEFATSA LITOPO TSA LETAMONG,negative
LEKHOTLA LE HLAKOLA TŠOARO EA MOPARAMENTE,positive
NGOANANA EA NYAMETSENG O RE O KOETETSOE O KA HARA MOCUCU O MOHOLO,negative
CHELETE EA MOKHATLO E CHA KA MOHLOLO,negative
OFISI EA SEKOLO E CHESITSOE LORE,negative
MONNA O QOSA KOMITI EA MOKHA,negative
LINTLHA-KHOLO POLELONG EA TONAKHOLO,neutral
NTATE MATSALE O THETEHELA LIKOBONG TSA NGOETSI,negative
MOHOEBI O BAPATSA KA KORONE EA BORENA,negative
SEPOLESA SE HLAHLELLA BANA,positive
MOSALI O BOLAOA KE PELEHI SETEREKENG,negative
THIBANG LESHOLU LE QETA HO UTSOA PHONE,negative
SEKARAPA SA MONNA SE REKISOA M3.3 MILIONE,negative
SEBINI SA MOKHA SE UTSOA CHELETE SE BATLA HO RUOA,negative
MAPARAMENTE A BOHANYETSI A IKISA MAPOLESENG ,negative
PHOOA MAPARAMENTE,negative
SEPOLESA LE MOKHATLO LI KETEKA LETSATSI LA MONNA,positive
LEKHOTLA LE AHLOLELA LELAPA LA MOFU,positive
MONNA O SHOELLA MOTHAMAHANE SETEREKENG,negative
KAJENO TONAKHOLO O ABELA LIKHUTSANA LIMPHO KA CHELETE EA HAE EA MOKHOLO E M600 000,positive
BO-RALITAPOLE BA LLISA BAREKI BA TSONA ,negative
MOPOLOTIKI O OA NYALA,positive
LEKHOTLA LE RE MOETAPELE A TŠOAROE,negative
UTLOA MANTSOE A BARA BA BARARO BA MOFU PHUPUNG KAJENO,neutral
LELAPA LA SEBOHOLI SE ILENG SA BOLAOA KA SEHLOHO,negative
MOSALI EA SELAKHUOENG O SE A TSEJOA O NE A NTSE A LOKISA TSA LEPATO LA MONNA OA HAE,negative
PARAMENTE E TLO BULOA,positive
O BOLAEA BATHO BA BABELI KA BOSIU BO LE MONG,negative
SESOLE SE HLALOSA 'NETE EA SE JELENG LESOLE,positive
NGOANANA O AHLOLOA  LILEMO TSE PELI SETEREKENG KA BOSHOLU BA CHELETE,negative
'MUSO O LOKISA BOROKHO BA MOTSE,positive
SEBINI SE TLO NTŠA LETLAPA LE LECHA,positive
O BETA NGOANA KA NTLOANENG NGOANA O TSOILE A BELEHA EKA OA HLANYA,negative
LEPOLESA LE BUA LE BANNA BA THABA,positive
MOETAPELE O CHAKELA BANNA BOESA,positive
TICHERE E THUNYETSA NYATSI LEFU,negative
LITUMELO TSE NGATA LI KHAHLANONG LE JOALA,negative
BOHANYETSI BO ITLOSA LITLHONG,negative
MONNA O TLA HOEHLA LILEMO TSE HLANO TERONKONG KE HO SE HLOKOMELE BANA BA HAE,negative
LETONA LA BOPHELO LE BULA CLINIC SETEREKENG,positive
MAPARAMENTE A MANG A PHATHI A LELEKUOE,negative
MONNA O FENETHOA LE PELE A PATA MOHATSA’E,negative
FOCHO BUUTII,negative
BANNA BA QOSOA KA HO SENYA SERITI SA LELAPA LA BORENA,negative
MONNA O HLAHA KA PELA LEKHOTLA KA POLAO,negative
MORENA O TŠOEROE O BELAELLOA KA PETO,negative
UTLOA KA TSA LINAKELI TSA MOCHOCHISI,negative
OA 'MUSO O FELLOA KE MAMELLO O SUNYA MONNA LIETA LITAPOLENG,negative
MAHOKELA A KHOTHATSA MAPOLESA A MOO A BASALI,positive
MOTLATSI OA PRESIDENT O TŠOEROE,negative
TONAKHOLO O SHEBILE LEKHOOA KAHARA THAKA TSA MAHLO,positive
MOSALI O THATA LIKAROLO TSA BOTONA HLOOHONG,negative
LINOKOANE LI HLASELA BANKA,negative
SEPOLESA SE MO HLOMPHISA MOLAO,positive
LECHOLING HO BILE TJENA,positive
'MUSO O QALELETSE HO PATALA BAOKI ,positive
BANNA NTSE BA TSOELA PELE HO ITLONTLOLLA,negative
SEPETLELE SE NTŠA POLELO KA NGAKA E QOSOANG,negative
TONAKHOLO LE MOIFO OA HAE KA MAAPARA KOBO A MATLE MOSE,positive
LETONA LA MEHLENG LE QOSOA KA LESHANO ,negative
SEEA-LE-MOEA SE KHAOLOA MOEENG,negative
SECHABA SE ETELOA KE SEPOLESA,positive
TONAKHOLO O HLOLEHA HO BUSA O TSEKA LINAMA,negative
SEPOLESA SE PHUTHA SETOPO SE SENG SA MOSALI,negative
MOTLATSI OA MOLAOLI KE LEHLABA-PHIEEO,negative
BOBOLU BA SEKOLO SE PHAHAMENG BO HLAHISA HLOOHO,negative
MOQHOBI O NKETSOE LEPHELE KA LIKHOKA,negative
MOKHETHOA O ITJA SEKHABABA,negative
MONNA O KENA MATJALENG KA HO IKHAPELA THEPA EA MARANG-RANG,negative
TONAKHOLO O TLANNGOE MATSOHO KA HO FELETSENG,negative
MOTHEHI OA OELESE KE MOFU,negative
KAROLO EA KOMPONE E CHELE KAJENO,negative
SEBOHOLI SE THUNTSOE SE FELETSOE KE BOPHELO ,negative
BOROKHO BA SETEREKENG BO KHAOHILE,negative
MEKHALAJOE E IPHETOLA LITHO TSA SEPOLESA,negative
MONNA-MOHOLO O SELAKHOA JOALO KA PHOOFOLO,negative
NGOANANYANA EA LILEMO LI 12 O TLA LULA TERONKONG LILEMO TSE PELI ,negative
MOSALI O JOOA CHELETE KA SEHLOHO KE MOCHELIETE OA FACEBOOK ,negative
HO FUMANOE SETOPO SA MOSALI KA LENGOPENG,negative
MOOKAMELI O OA PHOTHOLEHA,negative
PHATHI E RE E IPATLA BOHANYETSING,positive
MOETAPELE O QOSA MORENA,negative
KHILI HONA LE BATHO BA KHOPO SECHABA THUSANANG RE FUMANE LESHOLU LEO,negative
UTLOA LITABA TSA MOQHOBI EA THUNYELITSOENG MOTSENG,negative
MOETAPELE O LEBOHA SECHABA,positive
MOROALLO OA METSI O HLASELA NAHA EA BOAHISANE,negative
BAETI BA SUPA MOQHOBI OA LEPHELE KA SETHUNYA,negative
BONA MASHOLU A BANNA A TŠOEROE KA LIPANTY LE THEPA EA KATLUNG,negative
MONNA O TŠOSA MOSALI KA LEFU HA A HANA LEFEREHO LA HAE SETEREKENG,negative
MONNA O FUMANOA A LE MOLATO OA HO BA LE MAHLAAHLELA,negative
BANNA BA MO HLABELA LEFU,negative
HO UTLOAHALA HO KHABOLA HA SETHUNYA BOIPILETSONG BA BAITHUTI BA SEKOLO SE PHAHAMENG,negative
KHOSATSANA O HOOA KA NTSOE LE PHEFA,positive
NGOANA O NTSE A E-SO INOLOE KA LETAMONG,negative
MOSALI EA BOLAEANG O TŠOEROE,negative
SE ENTSOENG KE MOLIMO O KE KE OA SE FETOLA,positive
MOSHANYANA KE MOFU KAMORA HO BONA NOHA,negative
MONNA O IKETSA LESOLE 'MOTOANA HO MARANG-RANG,negative
PETROL ATTENDANT E JA BATHO PETROLE,negative
LETLAPA LE LECHA LA SEBINI LE TSOILE ,positive
KOMPONE EA MARANGRANG E QOSOA KA HO SEBELISA FITIEO EA MONNA ,negative
HO TSONGA LITOPO LE KA LINTJA,negative
UTLOA SE JELENG NGOANA EA FUMANOENG E LE MOFU,negative
MONNA EA THUNYELITSOENG LEFU SHOALANENG EA MAOBANE ,negative
SESOLE SE THULANA LE MOKHA,negative
MAOTO BOHOLO A SHEBILE MOTSE-MOHOLO,positive
TONAKHOLO O IPOTSA LIPOTSO A LE SETEREKENG MOO HO ILENG HOA BOLAOA BATHO,negative
MORUI O REKA NONYANA TŠEPE,positive
ATAMELANG LE TLO UTLOA,neutral
MONNA O QOSOA KA POLAO LE BOSHOLU BA BOQHOBANE,negative
BACHA BA QOBISOA LITLOLO TSA MOLAO,positive
MOSALI O HLOKA THUSO NAHENG EA BOAHISANE,negative
SEPOLESA SE HAPA LIBETSA TSE KOTSI,positive
LEKHOTLA LE FUMANA MELATA E LE MOLATO,negative
HO PHETHILE MAPARAMENTE A PHATHI A TEBETSOE BOPHELO BOHLE,negative
HAO HLOKE MOLIMO HORE O RUOE,negative
BAITHUTI BA SEKOLO SE PHAHAMENG BA NGALA LIHLAHLOBO BA RE MANPOWER E EA BATELLA,negative
BAHLANKA BA SUPA MOETAPELE KA MONOANA O HARE BA RE LI EME RE BOTSE,negative
MONNA O THULA KOLOI A BALEHA TAU TOROPONG,negative
MOTHO O THUNYETSOA LEFU MOTSENG,negative
TONAKHOLO O TLO ABELA SECHABA LIJO-THOLLO ,positive
TELU-PUTSOA O TŠOARETSOE BOLOI,negative
MASOLE A TLO SHAPUOA,negative
BARATANI BA KHAKHATHOA HAMPE,negative
MOSALI O AHLOLOA LIKETE TSE LESHOME KA HO SIA BANA BA HAE ,negative
MOHLANKANA O KHAOLOA MENOANA LE BOTOANA A NTSE A PHELA,negative
MOLISANA O AHLOLOA HO HLOLA BOPHELO BOHLE CHANKANENG,negative
MOSALI O QHAUTSOA KE MAHOKELA A ILO KALIMA NGOANA MOTSENG,negative
MONNA O LLELOA KE LITŠEPE KA NYELISO EA LEKHOTLA ,negative
TSEBA BAKHETHOA BA HLOKANG TŠEPO HO TONAKHOLO,negative
BA TSOHELA LEPOLESA LA MOSALI MATLA ,negative
MOLAOLI O RE A KEKE A JARA FOLAKHA LE MOLAO-THEO BOEMO BONA BO TENG O TLA SEBETSANA LE BONA LE THOLE LE SHEBELLE,positive
MONNA OA LEKHOOA O IKAKHETSE KA SETOTSOANA 'MINONG OA FAMO,positive
MOKHATLO O TŠOELA KA MATHE LIKHOBOSO TSA LENYALO LA MOSALI,positive
MOOKAMELI OA MABENKELE A LIJO O THUNYELITSOE LEFU,negative
SEBAPALI SE THIBA MEKOKO HO ISA NAHA HO MAKHAOLA-KHANG,positive
HO FUMANOA SETOPO SE TJAPALLETSE KA HARA METSI LE LEKOALI LA MALI,negative
BONA MOSALI A QOSETSOANG LESHANO O NTŠITSE MAKUNUTU A 'MUSO,negative
LEKHOTLA LE RE MONNA A KHUTLELE MOSEBETSING,positive
NYATSI E RATHOA KA SABOLE,negative
NGOANA EO ESALENG A BATLOA O FUMANOA E SE E LE MOFU,negative
SEPOLESA SE NTSE SE TSOMANA LE NGOANA EA NYAMETSENG,negative
SECHABA SE HANA LIMPHO TSA MOHATSA OA TONAKHOLO,negative
BOLO EA MAOTO E BOLAEA SEBAPALI BOTHATA BO QALILE MAFELENG ANA A BEKE,negative
